Category,Parameter,Value,Type
Ground Truth Comparison,ψ_true[38] Best Match,ψ_learned[130] = 0.0006,str
Ground Truth Comparison,ψ_true[39] Best Match,ψ_learned[130] = 0.0007,str
Ground Truth Comparison,ψ_true[40] Best Match,ψ_learned[130] = 0.0007,str
Ground Truth Comparison,ψ_true[41] Best Match,ψ_learned[130] = 0.0008,str
Ground Truth Comparison,ψ_true[42] Best Match,ψ_learned[130] = 0.0009,str
Ground Truth Comparison,ψ_true[43] Best Match,ψ_learned[131] = 0.0010,str
Ground Truth Comparison,ψ_true[44] Best Match,ψ_learned[131] = 0.0011,str
Ground Truth Comparison,ψ_true[45] Best Match,ψ_learned[131] = 0.0013,str
Ground Truth Comparison,ψ_true[46] Best Match,ψ_learned[131] = 0.0014,str
Ground Truth Comparison,ψ_true[47] Best Match,ψ_learned[131] = 0.0016,str
Ground Truth Comparison,ψ_true[48] Best Match,ψ_learned[131] = 0.0017,str
Ground Truth Comparison,ψ_true[49] Best Match,ψ_learned[131] = 0.0019,str
Ground Truth Comparison,ψ_true[50] Best Match,ψ_learned[131] = 0.0021,str
Ground Truth Comparison,ψ_true[51] Best Match,ψ_learned[131] = 0.0023,str
Ground Truth Comparison,ψ_true[52] Best Match,ψ_learned[131] = 0.0025,str
Ground Truth Comparison,ψ_true[53] Best Match,ψ_learned[131] = 0.0027,str
Ground Truth Comparison,ψ_true[54] Best Match,ψ_learned[131] = 0.0030,str
Ground Truth Comparison,ψ_true[55] Best Match,ψ_learned[131] = 0.0033,str
Ground Truth Comparison,ψ_true[56] Best Match,ψ_learned[131] = 0.0035,str
Ground Truth Comparison,ψ_true[57] Best Match,ψ_learned[131] = 0.0039,str
Ground Truth Comparison,ψ_true[58] Best Match,ψ_learned[131] = 0.0042,str
Ground Truth Comparison,ψ_true[59] Best Match,ψ_learned[131] = 0.0045,str
Ground Truth Comparison,ψ_true[60] Best Match,ψ_learned[131] = 0.0049,str
Ground Truth Comparison,ψ_true[61] Best Match,ψ_learned[131] = 0.0052,str
Ground Truth Comparison,ψ_true[62] Best Match,ψ_learned[131] = 0.0056,str
Ground Truth Comparison,ψ_true[63] Best Match,ψ_learned[131] = 0.0060,str
Ground Truth Comparison,ψ_true[64] Best Match,ψ_learned[131] = 0.0065,str
Ground Truth Comparison,ψ_true[65] Best Match,ψ_learned[132] = 0.0069,str
Ground Truth Comparison,ψ_true[66] Best Match,ψ_learned[132] = 0.0074,str
Ground Truth Comparison,ψ_true[67] Best Match,ψ_learned[132] = 0.0078,str
Ground Truth Comparison,ψ_true[68] Best Match,ψ_learned[132] = 0.0083,str
Ground Truth Comparison,ψ_true[69] Best Match,ψ_learned[132] = 0.0088,str
Ground Truth Comparison,ψ_true[70] Best Match,ψ_learned[132] = 0.0093,str
Ground Truth Comparison,ψ_true[71] Best Match,ψ_learned[132] = 0.0098,str
Ground Truth Comparison,ψ_true[72] Best Match,ψ_learned[132] = 0.0103,str
Ground Truth Comparison,ψ_true[73] Best Match,ψ_learned[132] = 0.0109,str
Ground Truth Comparison,ψ_true[74] Best Match,ψ_learned[132] = 0.0114,str
Ground Truth Comparison,ψ_true[75] Best Match,ψ_learned[132] = 0.0119,str
Ground Truth Comparison,ψ_true[76] Best Match,ψ_learned[133] = 0.0124,str
Ground Truth Comparison,ψ_true[77] Best Match,ψ_learned[133] = 0.0129,str
Ground Truth Comparison,ψ_true[78] Best Match,ψ_learned[133] = 0.0134,str
Ground Truth Comparison,ψ_true[79] Best Match,ψ_learned[133] = 0.0138,str
Ground Truth Comparison,ψ_true[80] Best Match,ψ_learned[133] = 0.0143,str
Ground Truth Comparison,ψ_true[81] Best Match,ψ_learned[133] = 0.0147,str
Ground Truth Comparison,ψ_true[82] Best Match,ψ_learned[133] = 0.0151,str
Ground Truth Comparison,ψ_true[83] Best Match,ψ_learned[134] = 0.0155,str
Ground Truth Comparison,ψ_true[84] Best Match,ψ_learned[134] = 0.0158,str
Ground Truth Comparison,ψ_true[85] Best Match,ψ_learned[134] = 0.0161,str
Ground Truth Comparison,ψ_true[86] Best Match,ψ_learned[134] = 0.0163,str
Ground Truth Comparison,ψ_true[87] Best Match,ψ_learned[134] = 0.0165,str
Ground Truth Comparison,ψ_true[88] Best Match,ψ_learned[135] = 0.0167,str
Ground Truth Comparison,ψ_true[89] Best Match,ψ_learned[135] = 0.0168,str
Ground Truth Comparison,ψ_true[90] Best Match,ψ_learned[135] = 0.0168,str
Ground Truth Comparison,ψ_true[91] Best Match,ψ_learned[136] = 0.0168,str
Ground Truth Comparison,ψ_true[92] Best Match,ψ_learned[136] = 0.0167,str
Ground Truth Comparison,ψ_true[93] Best Match,ψ_learned[136] = 0.0166,str
Ground Truth Comparison,ψ_true[94] Best Match,ψ_learned[137] = 0.0164,str
Ground Truth Comparison,ψ_true[95] Best Match,ψ_learned[137] = 0.0161,str
Ground Truth Comparison,ψ_true[96] Best Match,ψ_learned[138] = 0.0158,str
Ground Truth Comparison,ψ_true[97] Best Match,ψ_learned[21] = -0.0157,str
Ground Truth Comparison,ψ_true[98] Best Match,ψ_learned[20] = -0.0156,str
Ground Truth Comparison,ψ_true[99] Best Match,ψ_learned[19] = -0.0155,str
Ground Truth Comparison,ψ_true[100] Best Match,ψ_learned[17] = -0.0153,str
Ground Truth Comparison,ψ_true[101] Best Match,ψ_learned[15] = -0.0151,str
Ground Truth Comparison,ψ_true[102] Best Match,ψ_learned[13] = -0.0149,str
Ground Truth Comparison,ψ_true[103] Best Match,ψ_learned[10] = -0.0146,str
Ground Truth Comparison,ψ_true[104] Best Match,ψ_learned[5] = -0.0143,str
Ground Truth Comparison,ψ_true[105] Best Match,ψ_learned[0] = -0.0140,str
Ground Truth Comparison,ψ_true[106] Best Match,ψ_learned[0] = -0.0137,str
Ground Truth Comparison,ψ_true[107] Best Match,ψ_learned[0] = -0.0133,str
Ground Truth Comparison,ψ_true[108] Best Match,ψ_learned[0] = -0.0129,str
Ground Truth Comparison,ψ_true[109] Best Match,ψ_learned[0] = -0.0125,str
Ground Truth Comparison,ψ_true[110] Best Match,ψ_learned[255] = 0.0130,str
Ground Truth Comparison,ψ_true[111] Best Match,ψ_learned[255] = 0.0136,str
Ground Truth Comparison,ψ_true[112] Best Match,ψ_learned[255] = 0.0141,str
Ground Truth Comparison,ψ_true[113] Best Match,ψ_learned[255] = 0.0146,str
Ground Truth Comparison,ψ_true[114] Best Match,ψ_learned[255] = 0.0151,str
Ground Truth Comparison,ψ_true[115] Best Match,ψ_learned[255] = 0.0155,str
Ground Truth Comparison,ψ_true[116] Best Match,ψ_learned[255] = 0.0158,str
Ground Truth Comparison,ψ_true[117] Best Match,ψ_learned[255] = 0.0161,str
Ground Truth Comparison,ψ_true[118] Best Match,ψ_learned[255] = 0.0163,str
Ground Truth Comparison,ψ_true[119] Best Match,ψ_learned[255] = 0.0164,str
Ground Truth Comparison,ψ_true[120] Best Match,ψ_learned[255] = 0.0165,str
Ground Truth Comparison,ψ_true[121] Best Match,ψ_learned[255] = 0.0165,str
Ground Truth Comparison,ψ_true[122] Best Match,ψ_learned[255] = 0.0164,str
Ground Truth Comparison,ψ_true[123] Best Match,ψ_learned[119] = -0.0172,str
Ground Truth Comparison,ψ_true[124] Best Match,ψ_learned[120] = -0.0181,str
Ground Truth Comparison,ψ_true[125] Best Match,ψ_learned[121] = -0.0190,str
Ground Truth Comparison,ψ_true[126] Best Match,ψ_learned[121] = -0.0197,str
Ground Truth Comparison,ψ_true[127] Best Match,ψ_learned[122] = -0.0204,str
Ground Truth Comparison,ψ_true[128] Best Match,ψ_learned[122] = -0.0211,str
Ground Truth Comparison,ψ_true[129] Best Match,ψ_learned[123] = -0.0216,str
Ground Truth Comparison,ψ_true[130] Best Match,ψ_learned[123] = -0.0221,str
Ground Truth Comparison,ψ_true[131] Best Match,ψ_learned[124] = -0.0224,str
Ground Truth Comparison,ψ_true[132] Best Match,ψ_learned[124] = -0.0227,str
Ground Truth Comparison,ψ_true[133] Best Match,ψ_learned[124] = -0.0229,str
Ground Truth Comparison,ψ_true[134] Best Match,ψ_learned[125] = -0.0230,str
Ground Truth Comparison,ψ_true[135] Best Match,ψ_learned[125] = -0.0230,str
Ground Truth Comparison,ψ_true[136] Best Match,ψ_learned[126] = -0.0229,str
Ground Truth Comparison,ψ_true[137] Best Match,ψ_learned[126] = -0.0227,str
Ground Truth Comparison,ψ_true[138] Best Match,ψ_learned[126] = -0.0225,str
Ground Truth Comparison,ψ_true[139] Best Match,ψ_learned[127] = -0.0221,str
Ground Truth Comparison,ψ_true[140] Best Match,ψ_learned[127] = -0.0217,str
Ground Truth Comparison,ψ_true[141] Best Match,ψ_learned[127] = -0.0213,str
Ground Truth Comparison,ψ_true[142] Best Match,ψ_learned[128] = -0.0207,str
Ground Truth Comparison,ψ_true[143] Best Match,ψ_learned[128] = -0.0201,str
Ground Truth Comparison,ψ_true[144] Best Match,ψ_learned[129] = -0.0194,str
Ground Truth Comparison,ψ_true[145] Best Match,ψ_learned[130] = -0.0187,str
Ground Truth Comparison,ψ_true[146] Best Match,ψ_learned[130] = -0.0180,str
Ground Truth Comparison,ψ_true[147] Best Match,ψ_learned[132] = -0.0172,str
Ground Truth Comparison,ψ_true[148] Best Match,ψ_learned[133] = -0.0164,str
Ground Truth Comparison,ψ_true[149] Best Match,ψ_learned[135] = -0.0156,str
Ground Truth Comparison,ψ_true[150] Best Match,ψ_learned[138] = -0.0148,str
Ground Truth Comparison,ψ_true[151] Best Match,ψ_learned[143] = -0.0141,str
Ground Truth Comparison,ψ_true[152] Best Match,ψ_learned[151] = -0.0136,str
Ground Truth Comparison,ψ_true[153] Best Match,ψ_learned[160] = -0.0133,str
Ground Truth Comparison,ψ_true[154] Best Match,ψ_learned[166] = -0.0133,str
Ground Truth Comparison,ψ_true[155] Best Match,ψ_learned[171] = -0.0134,str
Ground Truth Comparison,ψ_true[156] Best Match,ψ_learned[176] = -0.0136,str
Ground Truth Comparison,ψ_true[157] Best Match,ψ_learned[179] = -0.0137,str
Ground Truth Comparison,ψ_true[158] Best Match,ψ_learned[183] = -0.0139,str
Ground Truth Comparison,ψ_true[159] Best Match,ψ_learned[186] = -0.0141,str
Ground Truth Comparison,ψ_true[160] Best Match,ψ_learned[188] = -0.0142,str
Ground Truth Comparison,ψ_true[161] Best Match,ψ_learned[191] = -0.0143,str
Ground Truth Comparison,ψ_true[162] Best Match,ψ_learned[193] = -0.0144,str
Ground Truth Comparison,ψ_true[163] Best Match,ψ_learned[195] = -0.0144,str
Ground Truth Comparison,ψ_true[164] Best Match,ψ_learned[197] = -0.0144,str
Ground Truth Comparison,ψ_true[165] Best Match,ψ_learned[199] = -0.0143,str
Ground Truth Comparison,ψ_true[166] Best Match,ψ_learned[201] = -0.0142,str
Ground Truth Comparison,ψ_true[167] Best Match,ψ_learned[203] = -0.0141,str
Ground Truth Comparison,ψ_true[168] Best Match,ψ_learned[204] = -0.0139,str
Ground Truth Comparison,ψ_true[169] Best Match,ψ_learned[205] = -0.0137,str
Ground Truth Comparison,ψ_true[170] Best Match,ψ_learned[207] = -0.0135,str
Ground Truth Comparison,ψ_true[171] Best Match,ψ_learned[208] = -0.0132,str
Ground Truth Comparison,ψ_true[172] Best Match,ψ_learned[209] = -0.0129,str
Ground Truth Comparison,ψ_true[173] Best Match,ψ_learned[210] = -0.0126,str
Ground Truth Comparison,ψ_true[174] Best Match,ψ_learned[211] = -0.0123,str
Ground Truth Comparison,ψ_true[175] Best Match,ψ_learned[212] = -0.0119,str
Ground Truth Comparison,ψ_true[176] Best Match,ψ_learned[213] = -0.0115,str
Ground Truth Comparison,ψ_true[177] Best Match,ψ_learned[214] = -0.0111,str
Ground Truth Comparison,ψ_true[178] Best Match,ψ_learned[214] = -0.0107,str
Ground Truth Comparison,ψ_true[179] Best Match,ψ_learned[215] = -0.0103,str
Ground Truth Comparison,ψ_true[180] Best Match,ψ_learned[216] = -0.0098,str
Ground Truth Comparison,ψ_true[181] Best Match,ψ_learned[216] = -0.0094,str
Ground Truth Comparison,ψ_true[182] Best Match,ψ_learned[217] = -0.0090,str
Ground Truth Comparison,ψ_true[183] Best Match,ψ_learned[218] = -0.0086,str
Ground Truth Comparison,ψ_true[184] Best Match,ψ_learned[218] = -0.0081,str
Ground Truth Comparison,ψ_true[185] Best Match,ψ_learned[219] = -0.0077,str
Ground Truth Comparison,ψ_true[186] Best Match,ψ_learned[219] = -0.0073,str
Ground Truth Comparison,ψ_true[187] Best Match,ψ_learned[220] = -0.0069,str
Ground Truth Comparison,ψ_true[188] Best Match,ψ_learned[220] = -0.0065,str
Ground Truth Comparison,ψ_true[189] Best Match,ψ_learned[221] = -0.0061,str
Ground Truth Comparison,ψ_true[190] Best Match,ψ_learned[221] = -0.0057,str
Ground Truth Comparison,ψ_true[191] Best Match,ψ_learned[221] = -0.0053,str
Ground Truth Comparison,ψ_true[192] Best Match,ψ_learned[222] = -0.0050,str
Ground Truth Comparison,ψ_true[193] Best Match,ψ_learned[222] = -0.0046,str
Ground Truth Comparison,ψ_true[194] Best Match,ψ_learned[223] = -0.0043,str
Ground Truth Comparison,ψ_true[195] Best Match,ψ_learned[223] = -0.0040,str
Ground Truth Comparison,ψ_true[196] Best Match,ψ_learned[223] = -0.0037,str
Ground Truth Comparison,ψ_true[197] Best Match,ψ_learned[224] = -0.0034,str
Ground Truth Comparison,ψ_true[198] Best Match,ψ_learned[224] = -0.0032,str
Ground Truth Comparison,ψ_true[199] Best Match,ψ_learned[224] = -0.0029,str
Ground Truth Comparison,ψ_true[200] Best Match,ψ_learned[224] = -0.0027,str
Ground Truth Comparison,ψ_true[201] Best Match,ψ_learned[225] = -0.0025,str
Ground Truth Comparison,ψ_true[202] Best Match,ψ_learned[225] = -0.0023,str
Ground Truth Comparison,ψ_true[203] Best Match,ψ_learned[225] = -0.0021,str
Ground Truth Comparison,ψ_true[204] Best Match,ψ_learned[226] = -0.0019,str
Ground Truth Comparison,ψ_true[205] Best Match,ψ_learned[226] = -0.0017,str
Ground Truth Comparison,ψ_true[206] Best Match,ψ_learned[226] = -0.0016,str
Ground Truth Comparison,ψ_true[207] Best Match,ψ_learned[226] = -0.0014,str
Ground Truth Comparison,ψ_true[208] Best Match,ψ_learned[226] = -0.0013,str
Ground Truth Comparison,ψ_true[209] Best Match,ψ_learned[227] = -0.0012,str
Ground Truth Comparison,ψ_true[210] Best Match,ψ_learned[227] = -0.0010,str
Ground Truth Comparison,ψ_true[211] Best Match,ψ_learned[227] = -0.0009,str
Ground Truth Comparison,ψ_true[212] Best Match,ψ_learned[227] = -0.0008,str
Ground Truth Comparison,ψ_true[213] Best Match,ψ_learned[227] = -0.0008,str
Ground Truth Comparison,ψ_true[214] Best Match,ψ_learned[228] = -0.0007,str
Ground Truth Comparison,ψ_true[215] Best Match,ψ_learned[228] = -0.0006,str
Ground Truth Comparison,ψ_true[216] Best Match,ψ_learned[228] = -0.0005,str
Ground Truth Comparison,ψ_true[217] Best Match,ψ_learned[228] = -0.0005,str
Ground Truth Comparison,ψ_true[218] Best Match,ψ_learned[228] = -0.0004,str
Ground Truth Comparison,ψ_true[219] Best Match,ψ_learned[229] = -0.0004,str
Ground Truth Comparison,ψ_true[220] Best Match,ψ_learned[229] = -0.0003,str
Ground Truth Comparison,ψ_true[221] Best Match,ψ_learned[229] = -0.0003,str
Ground Truth Comparison,ψ_true[222] Best Match,ψ_learned[229] = -0.0003,str
Ground Truth Comparison,ψ_true[223] Best Match,ψ_learned[229] = -0.0002,str
Ground Truth Comparison,ψ_true[224] Best Match,ψ_learned[229] = -0.0002,str
Ground Truth Comparison,ψ_true[225] Best Match,ψ_learned[229] = -0.0002,str
Ground Truth Comparison,ψ_true[226] Best Match,ψ_learned[230] = -0.0002,str
Ground Truth Comparison,ψ_true[227] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[228] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[229] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[230] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[231] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[232] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[233] Best Match,ψ_learned[230] = -0.0001,str
Ground Truth Comparison,ψ_true[234] Best Match,ψ_learned[231] = -0.0001,str
Ground Truth Comparison,ψ_true[235] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[236] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[237] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[238] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[239] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[240] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[241] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[242] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[243] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[244] Best Match,ψ_learned[231] = -0.0000,str
Ground Truth Comparison,ψ_true[245] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[246] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[247] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[248] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[249] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[250] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[251] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[252] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[253] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[254] Best Match,ψ_learned[232] = -0.0000,str
Ground Truth Comparison,ψ_true[255] Best Match,ψ_learned[232] = -0.0000,str
Failure Modes,Singular Value Ratio (σ_1/σ_n),1.0000001192092896,float
Failure Modes,Mode Collapse Risk,LOW (ratio < 3),str
Failure Modes,Orthonormality Violation,SEVERE,str
Failure Modes,Mode Mixing Risk,HIGH (max cross-overlap < 0.7),str
